Column Header,Row header,CATEGORY,TEMPLATE,FREQUENCY,ACTUAL_FORECAST,MODELCD,MODELDESC,TIMEZONE,SUPPLIERCD,SUPPLIERDESC,HUBCD,HUBDESC,PERIODCD,BASECURRCD,BASECURRDESC,UNITSCD,UNITSDESC,PRODUCTCD,PRODUCTDESC,COMMODITY,PRODUCT,MARKETBASIS,QUOTECAL,DEFAULT PROFILE,SRC_CATEG,PROD_CATEG,PROD_SUB_CATEG,REGIONDESC,REGIONCD,COUNTRYDESC,COUNTRYCD,KPI,KPI_SUB_CATEG
Northeast Asia LDPE Quarterly Supply/Demand,Film & Sheet,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_FS_NEAS.QUARTERLY,IHS Northeast Asia LDPE Market Quarterly Demand Film & Sheet,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,NORTHEAST ASIA,,VOL,PACKAGING,Polyethylene,LDPE,Northeast Asia,NEAS,,,Demand,Film & Sheet
Northeast Asia LDPE Quarterly Supply/Demand,Film & Sheet,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_FS_NEAS.QUARTERLY.FORECAST,IHS Northeast Asia LDPE Market Quarterly Demand Film & Sheet Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,NORTHEAST ASIA,,CURVE,PACKAGING,Polyethylene,LDPE,Northeast Asia,NEAS,,,Demand,Film & Sheet
Northeast Asia LDPE Quarterly Supply/Demand,Injection Molding,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_INJM_NEAS.QUARTERLY,IHS Northeast Asia LDPE Market Quarterly Demand Injection Molding,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,NORTHEAST ASIA,,VOL,PACKAGING,Polyethylene,LDPE,Northeast Asia,NEAS,,,Demand,Injection Molding
Northeast Asia LDPE Quarterly Supply/Demand,Injection Molding,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_INJM_NEAS.QUARTERLY.FORECAST,IHS Northeast Asia LDPE Market Quarterly Demand Injection Molding Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,NORTHEAST ASIA,,CURVE,PACKAGING,Polyethylene,LDPE,Northeast Asia,NEAS,,,Demand,Injection Molding
Northeast Asia LDPE Quarterly Supply/Demand,Pipe & Extrusion,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_PE_NEAS.QUARTERLY,IHS Northeast Asia LDPE Market Quarterly Demand Pipe & Extrusion,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,NORTHEAST ASIA,,VOL,PACKAGING,Polyethylene,LDPE,Northeast Asia,NEAS,,,Demand,Pipe & Extrusion
Northeast Asia LDPE Quarterly Supply/Demand,Pipe & Extrusion,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_PE_NEAS.QUARTERLY.FORECAST,IHS Northeast Asia LDPE Market Quarterly Demand Pipe & Extrusion Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,NORTHEAST ASIA,,CURVE,PACKAGING,Polyethylene,LDPE,Northeast Asia,NEAS,,,Demand,Pipe & Extrusion
Northeast Asia LDPE Quarterly Supply/Demand,Extrusion Coating,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_EC_NEAS.QUARTERLY,IHS Northeast Asia LDPE Market Quarterly Demand Extrusion Coating,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,NORTHEAST ASIA,,VOL,PACKAGING,Polyethylene,LDPE,Northeast Asia,NEAS,,,Demand,Extrusion Coating
Northeast Asia LDPE Quarterly Supply/Demand,Extrusion Coating,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_EC_NEAS.QUARTERLY.FORECAST,IHS Northeast Asia LDPE Market Quarterly Demand Extrusion Coating Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,NORTHEAST ASIA,,CURVE,PACKAGING,Polyethylene,LDPE,Northeast Asia,NEAS,,,Demand,Extrusion Coating
Northeast Asia LDPE Quarterly Supply/Demand,Blow Molding,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_BM_NEAS.QUARTERLY,IHS Northeast Asia LDPE Market Quarterly Demand Blow Molding,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,NORTHEAST ASIA,,VOL,PACKAGING,Polyethylene,LDPE,Northeast Asia,NEAS,,,Demand,Blow Molding
Northeast Asia LDPE Quarterly Supply/Demand,Blow Molding,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_BM_NEAS.QUARTERLY.FORECAST,IHS Northeast Asia LDPE Market Quarterly Demand Blow Molding Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,NORTHEAST ASIA,,CURVE,PACKAGING,Polyethylene,LDPE,Northeast Asia,NEAS,,,Demand,Blow Molding
