Column Header,Row header,CATEGORY,TEMPLATE,FREQUENCY,ACTUAL_FORECAST,MODELCD,MODELDESC,TIMEZONE,SUPPLIERCD,SUPPLIERDESC,HUBCD,HUBDESC,PERIODCD,BASECURRCD,BASECURRDESC,UNITSCD,UNITSDESC,PRODUCTCD,PRODUCTDESC,COMMODITY,PRODUCT,MARKETBASIS,QUOTECAL,DEFAULT PROFILE,SRC_CATEG,PROD_CATEG,PROD_SUB_CATEG,REGIONDESC,REGIONCD,COUNTRYDESC,COUNTRYCD,KPI,KPI_SUB_CATEG
United States/Canada LDPE Quarterly Supply/Demand,Film Sheet,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_FS_US_CA.QUARTERLY,IHS US and Canada LDPE Market Quarterly Demand Film Sheet,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,VOL,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Demand,Film Sheet
United States/Canada LDPE Quarterly Supply/Demand,Film Sheet,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_FS_US_CA.QUARTERLY.FORECAST,IHS US and Canada LDPE Market Quarterly Demand Film Sheet Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,CURVE,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Demand,Film Sheet
United States/Canada LDPE Quarterly Supply/Demand,Injection Molding,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_INJM_US_CA.QUARTERLY,IHS US and Canada LDPE Market Quarterly Demand Injection Molding,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,VOL,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Demand,Injection Molding
United States/Canada LDPE Quarterly Supply/Demand,Injection Molding,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_INJM_US_CA.QUARTERLY.FORECAST,IHS US and Canada LDPE Market Quarterly Demand Injection Molding Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,CURVE,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Demand,Injection Molding
United States/Canada LDPE Quarterly Supply/Demand,Wire Cable,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_WC_US_CA.QUARTERLY,IHS US and Canada LDPE Market Quarterly Demand Wire Cable,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,VOL,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Demand,Wire Cable
United States/Canada LDPE Quarterly Supply/Demand,Wire Cable,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_WC_US_CA.QUARTERLY.FORECAST,IHS US and Canada LDPE Market Quarterly Demand Wire Cable Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,CURVE,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Demand,Wire Cable
United States/Canada LDPE Quarterly Supply/Demand,Extrusion Coating,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_EC_US_CA.QUARTERLY,IHS US and Canada LDPE Market Quarterly Demand Extrusion Coating,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,VOL,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Demand,Extrusion Coating
United States/Canada LDPE Quarterly Supply/Demand,Extrusion Coating,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_EC_US_CA.QUARTERLY.FORECAST,IHS US and Canada LDPE Market Quarterly Demand Extrusion Coating Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,CURVE,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Demand,Extrusion Coating
United States/Canada LDPE Quarterly Supply/Demand,Blow Molding,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_BM_US_CA.QUARTERLY,IHS US and Canada LDPE Market Quarterly Demand Blow Molding,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,VOL,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Demand,Blow Molding
United States/Canada LDPE Quarterly Supply/Demand,Blow Molding,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_BM_US_CA.QUARTERLY.FORECAST,IHS US and Canada LDPE Market Quarterly Demand Blow Molding Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,CURVE,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Demand,Blow Molding
United States/Canada LDPE Quarterly Supply/Demand,Other,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_OTHER_US_CA.QUARTERLY,IHS US and Canada LDPE Market Quarterly Demand Other,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,VOL,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Demand,Other
