Column Header,Row header,CATEGORY,TEMPLATE,FREQUENCY,ACTUAL_FORECAST,MODELCD,MODELDESC,TIMEZONE,SUPPLIERCD,SUPPLIERDESC,HUBCD,HUBDESC,PERIODCD,BASECURRCD,BASECURRDESC,UNITSCD,UNITSDESC,PRODUCTCD,PRODUCTDESC,COMMODITY,PRODUCT,MARKETBASIS,QUOTECAL,DEFAULT PROFILE,SRC_CATEG,PROD_CATEG,PROD_SUB_CATEG,REGIONDESC,REGIONCD,COUNTRYDESC,COUNTRYCD,KPI,KPI_SUB_CATEG
West Europe - Quarterly LDPE Balance,Film & Sheet,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_FS_WE.QUARTERLY.FORECAST,IHS West Europe LDPE Market Quarterly Demand Film & Sheet Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,CURVE,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Demand,Film & Sheet
West Europe - Quarterly LDPE Balance,Injection Molding,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_INJM_WE.QUARTERLY,IHS West Europe LDPE Market Quarterly Demand Injection Molding,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,VOL,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Demand,Injection Molding
West Europe - Quarterly LDPE Balance,Injection Molding,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_INJM_WE.QUARTERLY.FORECAST,IHS West Europe LDPE Market Quarterly Demand Injection Molding Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,CURVE,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Demand,Injection Molding
West Europe - Quarterly LDPE Balance,Wire and Cable,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_WC_WE.QUARTERLY,IHS West Europe LDPE Market Quarterly Demand Wire and Cable,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,VOL,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Demand,Wire and Cable
West Europe - Quarterly LDPE Balance,Wire and Cable,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_WC_WE.QUARTERLY.FORECAST,IHS West Europe LDPE Market Quarterly Demand Wire and Cable Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,CURVE,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Demand,Wire and Cable
West Europe - Quarterly LDPE Balance,Extrusion Coating,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_EC_WE.QUARTERLY,IHS West Europe LDPE Market Quarterly Demand Extrusion Coating,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,VOL,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Demand,Extrusion Coating
West Europe - Quarterly LDPE Balance,Extrusion Coating,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_EC_WE.QUARTERLY.FORECAST,IHS West Europe LDPE Market Quarterly Demand Extrusion Coating Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,CURVE,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Demand,Extrusion Coating
West Europe - Quarterly LDPE Balance,Blow Molding,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_BM_WE.QUARTERLY,IHS West Europe LDPE Market Quarterly Demand Blow Molding,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,VOL,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Demand,Blow Molding
West Europe - Quarterly LDPE Balance,Blow Molding,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_BM_WE.QUARTERLY.FORECAST,IHS West Europe LDPE Market Quarterly Demand Blow Molding Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,CURVE,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Demand,Blow Molding
West Europe - Quarterly LDPE Balance,Pipe/Conduit,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_PC_WE.QUARTERLY,IHS West Europe LDPE Market Quarterly Demand Pipe/Conduit,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,VOL,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Demand,Pipe/Conduit
